本年度违规,本年度违规次数,资产负债率,有形资产带息债务比,有形资产负债率,市净率母公司,综合杠杆,每股企业自由现金流量,第一大股东持股比率,成本费用利润率,留存收益资产比,总资产周转率,流动资产周转率,Z值,风险值
0,0,0.49404,0.237682,0.55596,3.052274,1.518713,0.002011,17.41,0.146834,-0.047247,0.155756,0.277026,1.385341,3.873
1,3,0.643431,0.000676,0.111474,13.092666,-4.234664,-0.012853,21.65,-0.053113,-0.574177,0.07792,0.149243,2.845171,3.22
0,0,0.29251,0.149112,0.439934,2.705683,0.962023,-0.021216,20,0.552565,0.163976,0.245061,0.455367,2.906862,5.294
1,3,0.819505,0.299848,0.610018,3.337838,1.148064,-0.101747,13.51,-1.141469,-0.579203,0.105524,0.131909,-0.985285,3.557
1,4,0.972347,0.44059,0.805974,4.396888,1.361896,0.428788,34.36,0.114191,-0.019282,0.25272,0.299713,-0.089237,4.942
1,5,0.133376,0.007281,0.085102,1.233696,0.622652,-0.031083,21.42,0.334383,-0.726148,0.846906,0.976269,1.307541,3.698
0,0,0.576703,0.377665,0.548428,1.256614,1.064578,0.659857,38.99,0.230744,0.067717,0.252049,0.406057,1.036292,3.866
1,1,0.833525,0.4073,0.840281,1.57225,1.34587,0.286986,49.37,0.171134,0.07752,0.172465,0.196573,0.829324,3.852
0,0,0.865957,0.601222,0.870148,1.370576,1.346198,-0.447005,68.49,0.430583,0.040158,0.023609,0.033215,0.436345,2.35
0,0,0.763554,0.249909,0.710365,9.10936,1.106796,-0.406763,41.65,-0.083966,0.109487,0.663182,0.863139,2.305556,3.523
0,0,0.566855,0.395529,0.596718,1.300106,1.545507,-0.673272,19.02,0.063229,0.048767,0.481562,1.988507,0.799352,3.05
0,0,0.561924,0.550386,0.587721,2.300353,1.849292,0.50148,21.6,0.411456,0.165096,0.071605,0.335655,0.911844,3.126
0,0,0.450591,0.414009,0.536168,2.181726,1.123692,-0.156039,27.51,0.09287,0.28384,1.023432,2.796605,2.688655,3.065
1,1,0.597413,0.121258,0.718642,2.447457,2.334907,-0.828807,43.17,0.101396,0.219513,0.871893,1.128357,2.103584,3.814
1,1,0.694881,0.172105,0.642279,2.930859,1.238431,-1.040818,39.18,0.05384,0.043026,0.790375,1.07426,1.686479,3.143
1,1,0.825944,0.258439,0.910456,2.844142,1.494639,-0.472533,45.96,0.044542,0.025934,0.933235,1.142136,1.31274,3.683
1,4,0.695233,0.723881,1.072257,5.363422,1.263409,0.210209,37.08,0.155244,0.146584,0.266371,0.767696,1.279146,3.73
0,0,0.569219,0.473897,0.650466,2.236452,1.148064,-0.607686,27.55,0.030351,0.110406,0.682761,1.140188,1.767413,4.624
1,5,0.529828,0.229861,0.602448,14.42128,1.182649,-0.062999,27.49,0.080078,0.188772,0.652604,1.142197,7.043153,3.485
1,1,0.574102,0.331303,0.695776,2.3643,1.229671,-0.80367,9.33,0.046707,0.057807,0.727522,2.110517,1.291252,3.73
1,6,0.207796,0.094712,0.163135,5.030455,1.109839,-0.052744,43.08,0.88113,0.455558,0.285609,0.626405,3.132985,4.342
1,3,0.551379,0.627433,1.115133,4.744137,2.008092,-0.033806,16.71,-0.190884,0.1786995,0.639404,1.029857,1.565747,4.037
1,3,0.992637,0.681768,0.982453,9.946294,14.870222,-0.473215,30.13,0.0571,-0.100472,0.24592,0.323982,0.102013,3.777
0,0,0.539472,0.397998,0.558062,1.414866,1.352989,-0.065316,15.97,0.128723,0.068845,0.388719,0.620848,1.284266,3.972
0,0,0.575794,0.081762,0.625068,1.520367,1.015094,0.125598,38,0.044438,0.254214,1.016198,1.873176,1.859932,2.549
0,0,0.919167,0.667793,0.984048,12.667024,1.386728,-1.791467,17.08,-0.38137,-0.119548,0.535465,2.21498,-0.030443,5.061
0,0,0.427777,0.520198,0.689829,3.324496,1.264212,-0.065963,29.76,0.568288,0.115013,0.273017,3.446907,1.416397,5.449
1,2,0.754349,0.539908,0.732741,1.176249,1.778334,-0.245471,15.29,0.178842,0.097384,0.274175,0.601986,0.56594,1.86
0,0,0.472495,0.00073,1.028128,14.211899,0.96958,-0.139144,22.65,-0.827158,-0.002806,0.041812,0.056491,5.193983,3.892
1,4,0.559942,0.268826,0.665338,3.061697,1.148064,0.041741,25.08,-0.50985,0.029886,0.196015,0.353356,1.420369,4.114
1,5,0.926764,0.029781,0.881253,73.235016,1.148064,-0.009779,24.13,0.004502,-5.042816,5.842667,8.332262,4.739777,2.837
1,2,0.305737,0.059294,0.274702,9.999129,1.063501,0.001826,14,0.030643,-0.50418,0.427178,0.518103,7.796089,5.305
0,0,0.399409,0.077615,0.382979,10.119209,0.965853,0.026463,17.89,0.082007,-4.056092,1.335866,3.097985,3.126777,4.077
0,0,0.732223,0.200751,0.676063,2.176966,3.050556,0.022587,30.04,0.003809,0.009492,0.924053,1.08151,1.302679,3.09
1,2,0.644051,0.350502,0.603095,2.266459,1.197743,-0.01019,51.75,0.211394,0.157278,0.440443,0.869911,1.279297,4.948
0,0,0.979221,0.808934,1.675588,37.385061,2.241855,1.64812,15.59,0.024423,-0.019929,0.792123,1.865272,0.514823,3.842
1,1,0.622565,0.258572,0.669479,1.611725,2.231761,-0.614025,17.37,0.009919,-0.050877,3.838723,5.001316,3.273829,5.41
0,0,0.409483,0.115243,0.4126,3.924141,-2.58464,-0.627825,52.28,0.538668,0.231652,0.099327,0.179033,3.704551,3.784
0,0,0.493778,0.301594,0.558489,3.260911,2.328231,-0.157351,37.46,0.099027,0.160393,0.947555,2.311948,2.299757,3.828
1,6,0.530334,0.148546,0.593205,3.239987,0.970254,-0.23879,40.43,0.048894,0.15351,0.848643,1.181345,2.266526,3.333
1,2,0.509575,0.349779,0.47417,4.301701,1.471203,-0.042166,47.7,0.125712,-0.035257,0.255165,0.781901,1.852416,4.356
1,4,0.426423,0.295486,0.470032,0.604571,1.391901,0.303332,15.31,0.087956,0.004746,0.291174,0.52958,0.793166,4.16
1,7,0.533162,0.430269,0.556892,1.721604,1.509544,-0.44476,24.99,0.059786,0.062636,0.239132,0.466136,1.22819,3.674
1,9,0.554102,0.226187,0.496761,1.837275,1.563357,-0.026439,10.99,0.06898,-0.036403,0.375696,1.010117,0.189598,4.157
0,0,0.507999,0.347338,0.530682,1.812688,2.020497,-0.044165,19.7,0.01976,0.157651,0.262822,0.428603,1.539437,3.37
1,2,0.311863,0.000124,0.047301,8.828695,2.204666,-0.060641,41.55,-0.740058,-0.106617,0.245675,0.686601,3.566965,2.813
1,2,0.564357,0.166564,0.540163,11.854561,1.148064,-0.065849,20.68,-0.001305,-0.036657,0.711899,0.843073,5.020638,5.702
1,4,0.78634,0.472502,0.813327,1.584222,1.118739,-0.827659,37.04,0.111416,-0.009628,0.337423,0.651702,0.031033,4.878
0,0,0.674157,0.415539,0.686624,0.974204,6.990197,0.36019,25.33,-0.051301,0.069981,0.65119,1.286547,0.928566,3.923
