资产负债率,有形资产带息债务比,有形资产负债率,市净率母公司,综合杠杆,每股企业自由现金流量,第一大股东持股比率,成本费用利润率,留存收益资产比,总资产周转率,流动资产周转率,Z值,上年度违规,上年度违规次数,风险值
0.146164,0.012284,0.209734,1.930562,1.003826,-0.246333,15.31,0.350714,-0.3754,0.260176,0.469239,7.082765,0,0,0.361
0.403818,0.140634,0.464874,2.052077,1.653587,-0.035346,13.75,-0.825623,-0.097939,0.155003,0.286619,1.929803,1,2,2.439
0.736008,0.275928,0.824786,21.220368,1.088287,0.032576,14.25,-2.44429,-0.786117,0.412832,0.585132,3.463742,1,6,2.487
0.812883,0.050568,0.81521,6.811645,2.187606,-0.049996,14.57,0.100222,-0.389089,0.382978,0.476158,0.281385,1,5,2.518
0.372875,0.172426,0.455355,1.214757,0.99999,0.24851,33.21,0.507413,0.33951,0.196319,0.269353,2.580623,1,2,2.816
0.228375,0.003962,0.101982,2.00562,0.875209,-0.334607,21.42,0.043486,-0.907502,0.778827,2.192207,0.879668,1,1,2.482
0.87507,0.456161,0.811139,0.865308,3.465088,0.713786,62.83,-0.291401,-0.07209,0.076556,0.135259,-0.400622,1,4,2.429
0.690232,0.525489,0.600473,0.644332,13.661456,0.029092,20.62,-0.397108,0.079279,0.069047,0.572433,0.037478,1,1,3.109
0.697191,0.415848,0.669451,1.860529,2.864861,-0.574564,37.07,0.038693,-0.004597,0.551529,0.82572,1.208668,1,2,2.42
0.805651,0.359461,0.876018,1.442159,2.030013,0.06026,44.22,0.006812,0.027599,1.091739,1.298482,1.493146,1,2,2.473
0.612464,0.499247,0.714484,3.720366,1.198772,-0.16364,8.26,0.100748,0.081004,0.529715,1.875825,1.157781,1,4,2.185
1.074049,0.705572,1.186508,32.281113,1.052371,-0.022676,33.04,-0.344807,-0.384783,0.310915,0.768145,-0.704437,1,7,2.413
0.107236,0.162103,0.243255,4.542189,0.887976,-0.762761,18.35,0.283127,0.119392,0.278187,0.798491,12.811361,0,0,0.155
0.110191,0.003677,0.079139,2.380123,0.996624,0.129793,40.79,0.504072,0.58733,0.340965,1.368617,11.808337,1,3,2.789
