资产负债率,有形资产带息债务比,有形资产负债率,市净率母公司,综合杠杆,每股企业自由现金流量,第一大股东持股比率,成本费用利润率,留存收益资产比,总资产周转率,流动资产周转率,Z值,风险值,上年度违规,上年度违规次数
0.387338,0.012457,0.23652,3.338218,1.054167,-0.405663,31.32,-2.516554,-1.758928,0.289305,0.327547,-2.063317,2.357,1,1
0.711224,0.341914,0.742921,22.638628,1.054167,-0.015273,31.32,0.180433,-0.97963,0.623509,0.922118,5.286887,2.807,1,10
0.483645,0.273412,0.435902,1.929914,1.068009,-0.220396,31.32,0.155528,0.348039,0.586732,1.629604,2.452669,0.11,0,0
0.59228,0.080674,0.58724,2.611713,0.972583,0.010339,34.02,0.154586,0.305835,0.255329,0.285646,2.255891,0.04,0,0
0.419243,0.120834,0.468512,7.35954,1.203556,0.198672,31.32,0.017338,-0.125095,1.091342,1.924038,7.237921,0.082,0,0
0.808366,0.221218,0.804456,3.516084,1.363681,-1.827506,31.32,0.033373,0.027597,0.966153,1.206636,1.442839,0.006,0,0
0.795604,0.402267,0.889142,1.550119,1.219779,-1.664119,23.15,0.00444,0.07158,2.881438,3.568694,3.495535,0.028,0,0
0.60563,0.793238,1.033385,0.167318,1.964671,-4.819553,31.32,0.062742,0.120187,0.253391,1.125269,0.825151,0.02,0,0
0.991498,0.559313,0.900578,2.059113,-0.280217,-0.037093,31.32,-1.126815,-0.185366,0.067886,0.107949,-0.767999,2.578,1,9
0.626341,0.472839,0.629068,0.851229,2.981736,-0.426616,15.85,0.038962,0.018206,0.388291,1.422129,0.694496,0.051,0,0
0.792816,0.555771,0.694369,3.002598,1.054167,0.038332,31.32,-1.347184,-0.035996,0.06545,0.619695,-0.46976,2.712,1,6
0.670948,0.342125,0.723793,2.105441,1.021743,-0.583222,21.28,0.076724,0.167659,0.67948,0.891789,2.092428,0.115,0,0
0.901682,0.485141,0.864636,11.717011,1.054167,0.014445,31.32,-0.087071,-0.499919,0.25726,0.692597,-0.284178,0.056,0,0
0.699494,0.46767,0.7554,2.405233,2.865864,-0.493863,31.32,-0.150317,-0.003175,0.532402,0.847303,1.409499,2.45,1,2
0.632944,0.463876,0.667108,1.583509,1.406907,-0.623996,6.79,0.101657,0.064442,0.462651,1.744136,0.753709,2.201,1,3
1.186659,0.728968,1.2828,2.616403,1.054167,-0.004403,31.32,-0.471613,-0.510466,0.240496,0.956138,-1.30655,2.622,1,7
0.151369,0.266441,0.473462,1.289554,1.359671,-0.006166,22.82,0.083103,0.5599,0.523605,1.061255,6.468765,0.233,0,0
0.14046,0.075505,0.180393,2.416981,0.893865,-0.314918,31.32,0.311152,0.174424,0.301314,0.789369,8.452366,2.554,1,12
0.596684,0.413212,0.643876,0.466214,1.054167,0.005021,31.32,-0.406945,-0.081801,0.100565,0.192092,0.034933,2.64,1,4
0.653785,0.588614,0.799251,5.992675,1.094953,0.828282,17.08,0.163253,0.077566,1.053184,3.702468,2.199017,2.396,1,2
0.422657,0.437206,0.630922,2.555552,1.563274,0.058571,31.32,0.166302,0.142146,0.216739,2.673359,1.53658,2.719,1,3
0.608697,0.302586,0.644319,4.171027,1.046057,0.170392,31.32,0.160766,-0.181329,0.161349,0.717721,1.672941,0,0,0
0.679528,0.423986,0.650259,3.757745,1.054167,-0.270856,27.96,-0.316978,0.078645,0.204381,0.730344,1.46098,2.705,1,1
0.86399,0.791712,1.019576,5.328905,1.200553,0.197968,31.32,-0.675728,-0.149385,0.626402,1.238849,1.060843,2.923,1,11
0.593573,0.31325,0.640608,0.812051,1.136929,-0.375786,31.32,0.040394,0.184399,0.626621,0.897556,1.314151,0.103,0,0
0.665328,0.263606,0.736961,4.164997,1.45366,-0.040483,17.37,-0.007165,-0.0073,0.695224,0.906698,1.934857,0.922,0,0
0.277451,0.06099,0.262615,2.681001,0.8974,-6.502885,25.02,0.119208,0.361038,0.684316,1.022742,5.588652,0.197,0,0
1.064098,0.205984,0.964125,1.626107,1.054167,0.680041,31.32,-1.844142,-0.082529,0.026096,0.053299,-0.915637,2.511,1,1
0.30465,0.048654,0.356413,0.431689,0.942579,-1.394865,31.32,0.172704,0.22147,0.235816,0.417154,2.879622,0.078,0,0
0.575473,0.358652,0.571633,1.535331,2.660346,-0.000187,31.32,-0.403674,-0.25806,0.050468,0.229473,0.580304,2.516,1,3
0.659991,0.291298,0.75747,3.755672,1.133946,0.213162,31.32,0.045381,-0.386769,0.442652,2.359926,0.264349,2.77,1,8
0.108491,0.05426,0.172633,3.356251,1.002213,0.077066,41.77,0.049044,0.3305,0.221949,0.488571,13.379553,0.222,0,0
0.758702,0.199259,0.751989,2.614463,1.054167,-0.012016,31.32,-0.411939,-0.19402,0.394258,0.655496,0.386446,0.015,0,0
0.351025,0.018921,0.426182,5.139104,0.944662,7.653491,31.32,0.325333,0.395001,0.561038,0.748525,10.176087,0.044,0,0
0.660841,0.613254,0.70198,0.760201,2.320485,-0.678829,31.32,-0.187724,0.096132,0.500951,2.782889,0.808153,0.167,0,0
0.613292,0.117586,1.68022,2.616403,1.130585,-0.006899,31.32,-3.303052,-12.309116,0.272973,0.691822,-9.659512,2.347,1,1
0.752266,0.304129,0.723863,1.710204,1.054167,0.154423,31.32,-0.429206,0.100354,0.185347,0.200103,1.151033,2.564,1,4
0.93848,0.542275,0.702138,4.844146,1.054167,-0.110404,31.32,-0.172624,0.1930595,0.362721,1.605274,-0.173821,2.755,1,1
0.169904,0.074036,0.097467,0.57662,1.204466,-0.000795,31.32,0.65665,0.448096,0.011893,2.142446,1.882587,2.545,1,1
0.978519,0.488815,0.950147,0.798575,5.709441,-0.032547,31.32,-0.32116,-0.084218,0.133614,0.250759,-0.32686,0.011,0,0
0.384058,0.127993,0.381994,8.864249,1.054167,-0.134601,31.32,-0.001638,-1.306843,0.7534,1.176607,7.905567,0.003,0,0
0.511933,0.276867,0.530914,1.621929,1.190072,-0.012599,36.53,0.039095,0.162231,1.9833,3.140233,3.350149,0.232,0,0
0.597619,0.217107,0.660179,11.017546,2.191278,-0.282803,31.32,0.228634,-0.490169,0.277891,0.432154,3.617039,2.797,1,6
0.713045,0.179443,0.720399,1.962662,0.864884,0.022546,31.32,0.164097,0.263923,0.532325,0.740724,1.693175,2.072,1,2
0.835785,0.527262,0.969334,1.232217,1.054167,-0.266481,32.98,0.012599,0.082411,0.505612,0.757983,0.882254,0.05,0,0
0.870178,0.218917,0.789951,0.682779,1.054167,0.576316,31.32,0.071304,-0.003978,0.183156,0.217487,0.020876,0.128,0,0
0.167743,0.402448,0.49678,3.639833,1.505367,-0.027294,19.27,0.115793,-0.87383,0.670543,0.885686,9.039176,2.5,1,1
0.435911,0.089702,0.488524,1.914571,3.300888,-1.114988,31.32,0.908259,0.392851,0.274357,0.453337,2.193315,0.138,0,0
0.79209,0.662276,0.841162,2.581465,2.956818,0.039864,31.32,-0.358581,-0.633009,0.43469,2.342773,-0.6811,2.739,1,1
0.916395,0.231573,0.895043,1.058485,1.054167,-0.070801,31.32,-0.228688,-0.012293,0.133198,0.159437,0.046477,2.417,1,4
0.440122,0.203214,0.336372,2.227173,1.021274,0.234159,30.99,0.756112,0.28974,0.367907,1.366366,2.30891,2.66,1,3
0.763528,0,0.775509,1.018498,1.054167,0.269864,30.81,0.0823155,0.091193,0.05713,0.9002815,2.902406,2.462,1,2
0.584008,0.467098,0.773607,7.022358,1.210108,-0.115644,31.32,0.129008,0.183196,0.199443,4.383812,2.597609,2.396,1,3
0.600243,0.189415,0.550435,7.681202,1.054167,-0.252855,31.32,-0.213312,-0.115795,0.503374,1.069674,3.637374,2.634,1,1
0.852813,0.575732,0.76738,4.992858,1.054167,-0.076107,31.32,-0.263168,-0.30822,1.457492,3.453684,1.35198,0.066,0,0
0.708318,0.593568,0.69925,1.175404,1.545501,-1.322722,40.61,0.028866,0.112119,1.358019,3.572054,1.60289,0.159,0,0
0.737564,0.466167,0.755342,0.491761,3.85167,0.313211,31.32,0.023886,0.072716,0.566558,1.999977,0.462848,2.555,1,1
1.050381,0.358382,1.018305,4.037408,1.054167,-0.00312,31.32,-0.985417,-0.727346,0.025311,0.040472,-1.6858,2.459,1,5
0.460487,0.399741,0.550136,0.961956,5.106804,0.07819,31.32,-0.021364,0.035022,0.644157,1.736076,2.139683,2.535,1,1
0.543479,0.128874,0.502099,0.962812,1.030581,-0.118512,31.32,0.044348,0.177907,1.952351,8.631124,2.077948,2.537,1,1
0.745465,0.012811,0.746481,0.976723,1.054167,-0.310888,21.7,0.0823155,0.061125,0.038596,0.9002815,2.902406,2.114,1,6
0.960782,0.4195,0.946501,0.883525,1.054167,0.107199,31.32,-0.464168,-0.024398,0.04102,0.051885,-0.101771,2.496,1,3
0.65826,0.052184,0.602802,45.11623,5.084333,0.024429,31.32,0.025701,-0.373204,0.324405,0.548412,0.727912,2.81,1,2
0.473704,0.26631,0.5037,1.71214,1.092991,-0.117743,30.59,0.068031,0.283723,0.907788,2.170401,4.460763,0.131,0,0
0.797827,0.002293,0.800125,1.245171,1.054167,2.350402,22.31,0.0823155,0.077762,0.034906,0.9002815,2.902406,2.376,1,2
0.250342,0.159918,0.29823,2.628843,1.041135,0.133897,37.83,0.213338,0.575292,0.696893,1.816609,5.671811,2.247,1,1
0.477853,0.153681,0.481833,5.435207,1.253882,-0.009962,31.32,0.022458,0.222733,0.787882,0.928045,3.78955,2.711,1,2
1.26663,0.495016,0.960694,175.775754,1.054167,-0.17391,31.32,-0.536468,-0.594336,0.129497,0.234673,-1.762634,2.456,1,2
0.56014,0.040217,0.71117,1.830426,1.054167,-0.013856,31.32,0.0823155,-0.679744,0.031335,0.05247,0.313224,2.767,1,5
1.619396,1.218638,1.645546,2.616403,2.616678,-0.026489,31.32,-0.783442,-1.715188,0.761514,1.044548,-1.626415,2.852,1,5
0.352871,0.273018,0.479419,2.454128,1.051756,0.449603,29.1,0.152439,0.208473,1.24075,5.877405,3.534647,2.005,1,1
0.068797,0.010876,0.067278,0.658995,0.547596,0.122733,31.32,-0.125692,0.682253,0.100602,0.144234,14.361453,2.343,1,8
0.381105,0.190974,0.316638,4.997497,1.054167,-0.19988,20.86,-0.018408,-0.248631,0.355372,0.726957,4.805539,0.14,0,0
0.221753,0.023051,0.15372,3.957451,0.955037,-0.225969,22.91,0.047905,0.40749,2.323377,7.687305,16.291188,2.661,1,1
0.666284,0.002937,1.000253,3.747354,1.054167,-0.099183,31.32,0.0823155,-1.438166,0.444977,0.776294,1.541155,2.763,1,4
0.487396,0.166559,0.479895,1.050285,1.019618,0.159419,31.32,0.0641,0.311433,1.340313,4.110125,2.178943,2.276,1,1
0.610789,0.676453,1.084836,0.608708,1.054167,0.182016,31.32,-0.434628,-0.081474,0.266612,0.853695,0.343042,2.628,1,5
0.87751,0.515242,0.9674,4.99857,7.910955,0.598642,19.03,0.004505,0.057738,3.568094,4.70744,4.056002,2.338,1,2
0.26727,0.018033,0.241814,3.409486,0.973054,0.071178,31.32,0.416686,0.534122,0.70606,0.825456,8.204763,2.425,1,2
0.438445,0.35668,0.463093,0.799926,8.979537,0.125025,31.32,-0.116299,-0.044743,0.090551,0.437629,0.655191,2.653,1,2
0.345103,0.056182,0.395427,2.211946,0.990471,0.082428,31.32,-0.598935,-0.244227,0.26011,0.29807,2.313976,0,0,0
0.853706,0.563721,0.86615,5.852238,1.740905,0.211519,31.32,-0.138278,-0.570018,0.57247,1.47149,0.457339,2.567,1,3
0.649765,0.493525,0.773204,2.789175,1.073113,1.310273,21.42,0.242411,0.18047,0.706113,1.806066,1.87218,2.405,1,2
0.51576,0.348886,0.546657,1.137743,1.094955,-0.210988,31.32,0.200786,0.278278,0.69992,1.925052,1.903537,2.597,1,5
0.670576,0.08221,0.736291,14.757569,3.468024,0.125603,31.32,0.030856,-2.692178,0.560198,1.371973,3.381235,0.181,0,0
0.898107,0.161885,0.887385,0.728542,1.180261,1.067455,31.32,-0.058544,0.017883,0.192475,0.240214,0.150765,2.701,1,1
0.394034,0.264927,0.660146,0.953766,1.123784,-0.272089,31.32,0.076606,0.146165,0.418704,0.942125,1.662121,2.525,1,1
0.815295,0.355157,0.70537,3.15916,1.054167,-0.058917,31.32,-0.620694,-2.975008,0.387898,0.529404,-4.000852,2.601,1,10
0.878331,0.21191,0.903381,25.932582,2.808472,0.055696,16.18,0.0823155,-2.055613,0.71397,1.099792,-0.280098,2.465,1,1
0.657081,0.497124,0.718192,5.847363,1.303365,0.001166,31.32,-0.434581,-2.915618,0.109982,0.216027,-1.908796,2.563,1,2
0.693949,0.600446,0.839108,2.131869,1.139897,-0.160688,31.32,-0.382652,-0.52677,0.20906,0.57213,-0.413605,2.441,1,3
0.464749,0.230713,0.362787,2.60662,1.085743,-0.768038,28.69,0.311305,0.211274,0.310334,1.92314,2.064573,0.099,0,0
0.288554,0.021454,0.197358,2.73548,0.981315,0.629698,42.37,0.0823155,0.300364,0.720426,1.737043,2.836104,0,0,0
0.093376,0.001202,0.073979,2.569484,0.985455,-2.880534,46.74,0.0823155,0.456306,0.484992,0.534195,11.933238,2.505,1,1
0.42014,0.25288,0.50227,1.052119,1.555058,-0.504519,31.32,0.167214,0.28524,0.236285,0.265863,2.533735,0.512,0,0
0.45059,0.316212,0.44285,1.513562,1.517612,0.000504,31.32,0.161544,0.22594,0.256697,0.809276,1.265003,2.496,1,2
0.593003,0.525659,0.64618,2.788671,1.932575,-0.211855,31.32,0.14034,0.042397,0.356848,1.218363,1.379095,2.515,1,4
0.296253,0.044312,0.28431,1.317348,0.972229,-0.184587,31.32,0.656087,0.55339,0.126392,0.158141,3.159282,0.006,0,0
1.216047,0.482143,0.932506,8.871535,1.110096,-0.067378,31.32,-0.514065,-1.092714,0.644527,0.834525,-1.082854,2.713,1,1
0.340163,0.032596,0.352641,5.150956,0.987052,-1.262876,38.47,0.140422,0.33323,0.603874,0.70933,7.257719,0.092,0,0
0.083531,0.005762,0.065596,1.62746,0.898009,-0.112134,15.73,-0.138148,0.475536,0.115116,0.405394,18.400837,0.285,0,0
0.693688,0.449255,0.710549,4.148528,2.402375,-0.217873,31.32,0.008698,0.103896,0.727841,1.386567,1.737349,2.682,1,1
0.528513,0.260464,0.691572,3.515848,1.053753,-0.532284,31.32,0.108105,0.298432,1.696468,3.087907,4.178795,2.512,1,2
0.827892,0.245426,1.005927,65.931033,1.054167,-0.001632,16.5,-0.776375,-3.81651,0.577444,0.936514,-2.075217,2.53,1,5
